id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,pos_ecr,sd_ecr,risk
9474,Jared,Cook,NOS,TE,32,10,TE,weighted,8.480450980392158,5,0.42287067357892205,3.1584225777560335,6.472000000000001,11.92617414248021,2,4.9,1.1,7.536103962395565
11399,Ryan,Griffin,NYJ,TE,29,6,TE,weighted,8.326829131652662,6,0.72068159794867,3.0467630513913506,6.5600000000000005,11.635593667546173,2,8.8,1.9,7.660872787153779
6997,Jason,Witten,DAL,TE,37,16,TE,weighted,7.788331481973809,7,0.3913398853351522,3.2654690937907236,5.812,11.356469656992083,2,19.5,1.6,7.878467985921002
13391,Jacob,Hollister,SEA,TE,26,2,TE,weighted,7.4239635854341754,8,0.34306819013712886,0.562947767419649,6.7,7.918965000000001,2,9.1,1.7,3.874401144423256
8687,Greg,Olsen,CAR,TE,34,12,TE,weighted,7.370019607843139,9,0.7160206462227272,0.7536960107078687,6.529000000000001,8.115224274406332,2,6.2,0.8,3.8314137714017384
14137,Noah,Fant,DEN,TE,22,0,TE,weighted,6.791771182750955,10,0.2836125196983872,1.1548821522582229,5.2,7.608034862385321,3,12.4,1.7,4.759400279140294
11257,Vance,McDonald,PIT,TE,29,6,TE,weighted,6.516226740489869,11,0.09442028076705178,0.23539982138984242,6.237,6.747870000000001,3,9.6,1.9,3.4576129501616295
13674,Dallas,Goedert,PHI,TE,25,1,TE,weighted,6.500090585615265,12,0.40335349119014907,0.6710287592379288,5.773,7.2064900000000005,3,7.8,1.5,3.9630650236408203
12110,Cameron,Brate,TBB,TE,28,5,TE,weighted,6.34352233383037,13,0.575833521166377,1.5373133020915686,3.9930000000000003,7.457944954128441,3,15.2,2.7,5.695810087509416
13672,Mike,Gesicki,MIA,TE,24,1,TE,weighted,5.849951855019863,14,0.1664196421347084,1.5223878580796724,3.5200000000000005,6.911186956521739,3,16.1,1.4,5.199465360968352
9925,Jimmy,Graham,GBP,TE,33,9,TE,weighted,5.6854257703081235,15,0.0696064425770313,0.6911481779479953,4.9,6.4168521739130435,4,18.5,2,4.175464632382794
11337,Darren,Fells,HOU,TE,33,7,TE,weighted,5.681638655462185,16,0.14248326841052794,0.780674092006139,4.800000000000001,6.49497247706422,4,18.9,2,4.309314529441597
13192,David,Njoku,CLE,TE,23,2,TE,weighted,5.55,17,0.03284181182789414,3.9244426355853386,0,4.933050458715596,5,NA,NA,14.496874889651345
11516,Jack,Doyle,IND,TE,29,6,TE,weighted,5.528310774103314,18,0.05734648838902778,0.9679965590013621,4.76,6.663045871559634,4,14.5,1.3,4.334132942685387
13193,Jonnu,Smith,TEN,TE,24,2,TE,weighted,5.506005602240897,19,0.1384467787114847,0.6220227598334284,4.800000000000001,6.116125,6,22,3.4,4.582609020358804
13236,Gerald,Everett,LAR,TE,25,2,TE,weighted,5.435922969187676,20,0.27915991417548014,0.7383623744200124,4.9,6.228295,4,11.1,1.6,4.100199114801776
11250,Tyler,Eifert,CIN,TE,29,6,TE,weighted,5.2991946778711485,21,0.3396481221133998,0.3083299033827802,4.95,5.6181192660550465,6,21.4,1.7,3.493722820731043
14143,Dawson,Knox,BUF,TE,23,0,TE,weighted,5.014331432153242,22,0.20903322552533599,0.6263184145616317,4.48,5.570139841688654,6,22.1,3,4.443176133421552
11695,Eric,Ebron,IND,TE,26,5,TE,weighted,4.904761679362254,23,0.22192558247508032,2.4721246571511544,1.5,6.858550458715596,6,11.6,2,6.838196657108858
7422,Ben,Watson,NEP,TE,39,15,TE,weighted,4.705834733893558,24,0.4140380249255182,1.2701637651045117,2.92,5.803991000000001,6,22.6,2,5.041148915550326
14138,T.J.,Hockenson,DET,TE,22,0,TE,weighted,4.659837459880789,25,0.765363675324068,0.7599356801534376,3.83,5.466018348623853,6,18,2.5,4.460627731276619
13382,Ricky,Seals-Jones,CLE,TE,24,2,TE,weighted,3.923755958055291,26,0.2024909437559579,1.814679605503057,2.0500000000000003,5.201360248447205,7,38.9,4.6,6.803312231255008
13194,Jeremy,Sprinkle,WAS,TE,25,2,TE,weighted,3.865191611058151,27,0.35615560577561567,0.5349659401014499,3.463,4.3668700305810395,7,30.7,2.4,4.087812392863813
10354,Luke,Stocker,ATL,TE,31,8,TE,weighted,3.5773384175405156,28,0.16829573923605468,2.3988405283982304,1.899,5.829261467889909,7,38.9,3.7,7.348514850159395
13188,O.J.,Howard,TBB,TE,25,2,TE,weighted,3.440733593024555,29,0.16592425079385853,1.284259883937358,1.8,4.664604347826087,7,26.8,3.5,5.60918137380206
13722,Blake,Jarwin,DAL,TE,25,2,TE,weighted,3.3773517635843664,30,0.25204560875164006,0.6461727670326801,2.9400000000000004,3.987356880733945,7,32.5,2.3,4.217613524304212
13919,Anthony,Firkser,TEN,TE,24,1,TE,weighted,3.1722669208770267,31,0.15207741976012423,0.1759075917195397,2.96,3.27659075,7,45.8,10,6.32223626286124
14239,Foster,Moreau,OAK,TE,22,0,TE,weighted,3.0783453887884265,32,0.12575645321419637,0.27156673694630296,2.8,3.311103975535168,7,31.8,2.3,3.6575412916755248
12328,Nick,Boyle,BAL,TE,26,4,TE,weighted,2.9620336134453784,33,0.09167947434762125,1.2196882734701509,1.3,3.939469565217391,7,27.8,2.3,5.075074655038122
13753,Jordan,Akins,HOU,TE,27,1,TE,weighted,2.9431442577030817,34,0.1476144609970267,0.5416649087924569,2.17,3.40574,7,29.3,2.5,4.134291825243441
12868,Ben,Braunecker,CHI,TE,25,3,TE,weighted,2.7975640204924326,35,0.006115953920549089,0.3573315878194289,2.41,3.0961108695652175,7,29.6,2.5,3.858695688679865
12212,Tyler,Kroft,BUF,TE,27,4,TE,weighted,2.793495572919677,36,0.05624333856549679,0.4397118962577319,2.16,3.1628800000000004,8,50,2.7,4.05478986751991
13680,Hayden,Hurst,BAL,TE,26,1,TE,weighted,2.78940056022409,37,0.10709619882927246,0.48860186534125,2.13,3.147335779816514,8,33.6,2.8,4.1643489245954415
12317,C.J.,Uzomah,CIN,TE,26,4,TE,weighted,2.685103908484271,38,0.025542677802177227,1.277635562232656,1.54,3.8450329192546584,8,43,5.4,6.292090076225402
14142,Kaden,Smith,NYG,TE,22,0,TE,weighted,2.679504814305364,39,0.05250533300664806,1.6970562748477138,1.6,3.733211009174312,8,34.7,5.8,7.065019898074613
11448,Demetrius,Harris,CLE,TE,28,6,TE,weighted,2.6396176470588237,40,0.09737446828111596,0.7036016899585796,1.592,3.1164300000000003,8,30,2.8,4.485794449005281
12596,Matt,LaCosse,NEP,TE,27,4,TE,weighted,2.6143813155386084,41,0.36826857044056904,0.9991837251536616,1.863,3.55138379204893,8,48.2,5.6,5.94870531155385
12678,Tyler,Higbee,LAR,TE,26,3,TE,weighted,2.470105042016807,42,0.46099117281025226,1.1307123260779433,1.3,3.554685,8,35.8,3.4,5.3431491030045395
13988,Ross,Dwelley,SFO,TE,24,1,TE,weighted,2.0221204481792716,43,0.08007442937312481,0.477517962137683,1.5,2.5170275229357797,8,30.4,8.1,6.08036022309727
13847,Ryan,Izzo,NEP,TE,24,1,TE,weighted,1.9961072902338377,44,0.257228489951812,0.367695526217005,1.71,2.1827450000000006,9,56,9,6.24433950219987
