id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,pos_ecr,sd_ecr,risk
0517,New York,Giants,NYG,DST,NA,49,DST,average,8.756666666666666,1,0.9733333333333327,1.4858106653720498,7.633000000000001,10.18,1,NA,NA,7.704246548445872
0512,Kansas City,Chiefs,KCC,DST,NA,49,DST,average,7.819999999999999,2,0.15999999999999925,0.7710598766200543,7.23,8.544,2,NA,NA,4.977608361331113
0502,Indianapolis,Colts,IND,DST,NA,49,DST,average,7.746666666666667,3,0.4300000000000006,0.9108969938106799,6.718,8.266,3,NA,NA,5.511060341669255
0531,Baltimore,Ravens,BAL,DST,NA,49,DST,average,7.573333333333333,4,0.5683333333333334,0.5460158727851533,7.212,8.112,3,NA,NA,4.119108329860208
0529,New Orleans,Saints,NOS,DST,NA,49,DST,average,7.06,5,0.1949999999999994,0.5797700693665838,6.462,7.47,4,NA,NA,4.247874163802145
0510,Pittsburgh,Steelers,PIT,DST,NA,49,DST,average,6.95,6,0.27333333333333343,1.6854771826795327,5.635,8.56,4,NA,NA,8.465936300099571
0519,Arizona,Cardinals,ARI,DST,NA,49,DST,average,6.78,7,0.22166666666666668,2.122545641440956,4.686,8.16,5,NA,NA,10.133269262576086
0501,Buffalo,Bills,BUF,DST,NA,49,DST,average,6.573333333333333,8,0.08833333333333382,0.8619358058076796,5.776,7.324,6,NA,NA,5.324282730512526
0522,Detroit,Lions,DET,DST,NA,49,DST,average,6.543333333333333,9,0.12333333333333307,0.2502665245959457,6.323,6.773,6,NA,NA,2.9908808703354337
0528,Los Angeles,Rams,LAR,DST,NA,49,DST,average,6.426666666666667,10,0.0699999999999994,0.3607399802258314,6.112,6.76,7,NA,NA,3.4123160719795305
0525,Tampa Bay,Buccaneers,TBB,DST,NA,49,DST,average,6.413333333333334,11,0.14500000000000135,0.9211586906355133,5.524,7.144,7,NA,NA,5.550206761466902
