Player,NFL Team,Position,Cost,Team
Matt Ryan ,Atl ,QB ,$5.00,GOFF TROOP
Mark Ingram ,Bal ,RB ,$18.00,JasonKelceStringBand
Marvin Jones Jr. ,Det ,WR ,$18.00,Lane Johnson's Juice
Andrew Luck ,Ind ,QB ,$4.00,LeJizz LeRoux
Ronald Jones II ,TB ,RB ,$2.00,Keep Gronk & Kerryon
Michael Crabtree ,Bal ,WR ,$10.00,My Friend Broos
Kyle Rudolph ,Min ,TE ,$5.00,Runningbackhanders
Jimmy Garoppolo ,SF ,QB ,$2.00,Runningbackhanders
Kerryon Johnson ,Det ,RB ,$10.00,Keep Gronk & Kerryon
Sammy Watkins ,KC ,WR ,$7.00,Runningbackhanders
Frank Gore ,Buf ,RB ,$3.00,JuJu Smith-Schlusta
Carlos Hyde ,KC ,RB ,$6.00,3 Edelman in a loaf
Rashaad Penny ,Sea ,RB ,$3.00,Straight-Up G
Marquise Goodwin ,SF ,WR ,$9.00,GOFF TROOP
Tevin Coleman ,SF ,RB ,$9.00,Keep Gronk & Kerryon
Matt Breida ,SF ,RB ,$6.00,3 Edelman in a loaf
Chris Carson ,Sea ,RB ,$9.00,JuJu Smith-Schlusta
Ben Roethlisberger ,Pit ,QB ,$8.00,3 Edelman in a loaf
Harrison Butker ,KC ,K ,$1.00,JuJu Smith-Schlusta
Doug Martin ,Oak ,RB ,$2.00,Runningbackhanders
Emmanuel Sanders ,Den ,WR ,$6.00,LeJizz LeRoux
Jordan Reed ,Was ,TE ,$4.00,LeJizz LeRoux
Matthew Stafford ,Det ,QB ,$10.00,Lane Johnson's Juice
Isaiah Crowell ,Oak ,RB ,$2.00,My Friend Broos
Sony Michel ,NE ,RB ,$2.00,3 Edelman in a loaf
Jamaal Williams ,GB ,RB ,$4.00,Runningbackhanders
Sterling Shepard ,NYG ,WR ,$3.00,A Team Has No Name
O.J. Howard ,TB ,TE ,$1.00,En-Saquonpedia Brown
Delanie Walker ,Ten ,TE ,$2.00,3 Edelman in a loaf
Cooper Kupp ,LAR ,WR ,$11.00,Lane Johnson's Juice
Aaron Jones ,GB ,RB ,$4.00,AiggsAiggcute
Ty Montgomery ,NYJ ,RB ,$3.00,My Friend Broos
Robert Woods ,LAR ,WR ,$6.00,3 Edelman in a loaf
Austin Ekeler ,LAC ,RB ,$1.00,JasonKelceStringBand
Julian Edelman ,NE ,WR ,$8.00,3 Edelman in a loaf
Pittsburgh ,Pit ,DEF ,$1.00,3 Edelman in a loaf
Pierre Garcon ,SF ,WR ,$7.00,Keep Gronk & Kerryon
Bilal Powell ,NYJ ,RB ,$5.00,A Team Has No Name
Dede Westbrook ,Jax ,WR ,$1.00,GOFF TROOP
Jared Goff ,LAR ,QB ,$2.00,AiggsAiggcute
Devin Funchess ,Ind ,WR ,$10.00,GOFF TROOP
Marcus Mariota ,Ten ,QB ,$1.00,En-Saquonpedia Brown
Dak Prescott ,Dal ,QB ,$1.00,Straight-Up G
Jamison Crowder ,NYJ ,WR ,$7.00,3 Edelman in a loaf
Jordy Nelson ,Oak ,WR ,$1.00,AiggsAiggcute
Robby Anderson ,NYJ ,WR ,$6.00,GOFF TROOP
Nelson Agholor ,Phi ,WR ,$3.00,Straight-Up G
Nick Chubb ,Cle ,RB ,$5.00,Straight-Up G
Chris Thompson ,Was ,RB ,$5.00,JuJu Smith-Schlusta
Chase Edmonds ,Ari ,RB ,$1.00,3 Edelman in a loaf
Kelvin Benjamin ,KC ,WR ,$1.00,A Team Has No Name
