id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,pos_ecr,sd_ecr,risk
501,Buffalo,Bills,BUF,DST,NA,49,DST,average,6.14,23,0.126666667,0.446766158,5.704,6.478,17,NA,NA,4.024055484
501,Buffalo,Bills,BUF,DST,NA,49,DST,robust,6.205,20,0.04125,0.326172,5.704,6.478,17,NA,NA,3.654797209
529,New Orleans,Saints,NOS,DST,NA,49,DST,weighted,8.522672673,1,0.568168168,0.756604256,7.97,8.936421512,1,NA,NA,4.972777074
502,Indianapolis,Colts,IND,DST,NA,49,DST,average,5.703333333,28,0.213333333,0.279344471,5.436,5.931,20,NA,NA,3.511411717
502,Indianapolis,Colts,IND,DST,NA,49,DST,robust,5.695,27,0.1825,0.281694,5.436,5.931,20,NA,NA,3.518605955
509,Jacksonville,Jaguars,JAC,DST,NA,49,DST,weighted,8.2396997,2,0.650750751,2.983990617,6.06,9.871494186,2,NA,NA,11.79301495
503,Miami,Dolphins,MIA,DST,NA,49,DST,average,6.46,20,0.245,0.806721761,5.698,7.138,11,NA,NA,5.126236445
503,Miami,Dolphins,MIA,DST,NA,49,DST,robust,6.4,18,0.12875,0.919212,5.698,7.138,11,NA,NA,5.470680588
531,Baltimore,Ravens,BAL,DST,NA,49,DST,weighted,7.669309309,3,0.18003003,1.682914139,6.44,8.589610465,2,NA,NA,7.80912997
504,New England,Patriots,NEP,DST,NA,49,DST,average,6.85,12,0.096666667,1.54029218,5.755,8.365,3,NA,NA,7.372422758
504,New England,Patriots,NEP,DST,NA,49,DST,robust,6.75,12,0.065,0.81543,5.755,8.365,3,NA,NA,5.152900997
511,Denver,Broncos,DEN,DST,NA,49,DST,weighted,7.508588589,4,0.041696697,0.509116882,7.04,7.690302326,2,NA,NA,4.214972865
505,New York,Jets,NYJ,DST,NA,49,DST,average,6.87,10,0.011666667,0.583980593,6.421,7.411,13,NA,NA,4.444204904
505,New York,Jets,NYJ,DST,NA,49,DST,robust,6.82,10,0.0625,0.311346,6.421,7.411,13,NA,NA,3.609400124
520,Washington,Redskins,WAS,DST,NA,49,DST,weighted,7.46996997,5,0.084399399,1.71119841,6.22,8.405738372,3,NA,NA,7.895736166
506,Cincinnati,Bengals,CIN,DST,NA,49,DST,average,6.75,14,0.06,1.218947634,5.845,7.915,4,NA,NA,6.38846852
506,Cincinnati,Bengals,CIN,DST,NA,49,DST,robust,6.635,15,0.0325,0.66717,5.845,7.915,4,NA,NA,4.698930152
504,New England,Patriots,NEP,DST,NA,49,DST,weighted,7.463813814,6,0.159024024,1.661700936,6.25,8.372514535,3,NA,NA,7.744175324
507,Cleveland,Browns,CLE,DST,NA,49,DST,average,5.503333333,29,0.216666667,0.992992111,4.524,6.135,21,NA,NA,5.696594655
507,Cleveland,Browns,CLE,DST,NA,49,DST,robust,5.59,28,0.34375,0.22239,4.524,6.135,21,NA,NA,3.337017617
523,Green Bay,Packers,GBP,DST,NA,49,DST,weighted,7.307327327,7,0.009039039,1.739482682,5.94,8.161866279,4,NA,NA,7.982342361
508,Tennessee,Titans,TEN,DST,NA,49,DST,average,6.51,18,0.033333333,1.804559041,5.407,8.251,7,NA,NA,8.181605614
508,Tennessee,Titans,TEN,DST,NA,49,DST,robust,6.3375,19,0.1325,0.103782,5.407,8.251,7,NA,NA,2.973840941
506,Cincinnati,Bengals,CIN,DST,NA,49,DST,weighted,7.302252252,8,0.014219219,1.308147545,6.25,7.920915698,4,NA,NA,6.661597883
509,Jacksonville,Jaguars,JAC,DST,NA,49,DST,average,7.28,4,0.108333333,2.61312074,5.556,9.858,2,NA,NA,10.65741458
509,Jacksonville,Jaguars,JAC,DST,NA,49,DST,robust,7.005,7,0.1575,0.830256,5.556,9.858,2,NA,NA,5.198298081
522,Detroit,Lions,DET,DST,NA,49,DST,weighted,7.294324324,9,0.031786787,0.827314934,6.69,7.746741279,5,NA,NA,5.189292562
510,Pittsburgh,Steelers,PIT,DST,NA,49,DST,average,6.253333333,21,0.095,2.777504875,4.61,8.984,7,NA,NA,11.16075739
510,Pittsburgh,Steelers,PIT,DST,NA,49,DST,robust,5.875,25,0.11,0.14826,4.61,8.984,7,NA,NA,3.110032195
514,Los Angeles,Chargers,LAC,DST,NA,49,DST,weighted,7.281741742,10,0.078708709,0.353553391,7.04,7.488291925,6,NA,NA,3.738638791
511,Denver,Broncos,DEN,DST,NA,49,DST,average,7.3,3,0.068333333,0.427707065,7.004,7.688,2,NA,NA,3.965696704
511,Denver,Broncos,DEN,DST,NA,49,DST,robust,7.25,3,0.13,0.059304,7.004,7.688,2,NA,NA,2.837649688
516,Dallas,Cowboys,DAL,DST,NA,49,DST,weighted,7.243333333,11,0.082657658,0.784888527,6.67,7.672549419,6,NA,NA,5.05938327
512,Kansas City,Chiefs,KCC,DST,NA,49,DST,average,5.946666667,26,0.131666667,0.453578365,5.618,6.392,18,NA,NA,4.044914403
512,Kansas City,Chiefs,KCC,DST,NA,49,DST,robust,5.93,24,0.075,0.266868,5.618,6.392,18,NA,NA,3.473208871
508,Tennessee,Titans,TEN,DST,NA,49,DST,weighted,7.162732733,12,0.033843844,2.184959954,5.47,8.260880814,7,NA,NA,9.346389937
513,Oakland,Raiders,OAK,DST,NA,49,DST,average,5.476666667,30,NA,0.696156113,5.055,6.162,21,NA,NA,4.78768538
513,Oakland,Raiders,OAK,DST,NA,49,DST,robust,5.435,29,NA,0.07413,5.055,6.162,21,NA,NA,2.883046772
510,Pittsburgh,Steelers,PIT,DST,NA,49,DST,weighted,7.158618619,13,0.122642643,3.365828278,4.7,8.99922093,7,NA,NA,12.96219859
514,Los Angeles,Chargers,LAC,DST,NA,49,DST,average,7.16,6,0.125,0.37753587,6.824,7.49,6,NA,NA,3.812072938
514,Los Angeles,Chargers,LAC,DST,NA,49,DST,robust,7.11,5,0.09,0.355824,6.824,7.49,6,NA,NA,3.745591378
528,Los Angeles,Rams,LAR,DST,NA,49,DST,weighted,7.099159159,14,0.143273273,0.820243866,6.5,7.547709302,8,NA,NA,5.167641014
515,Seattle,Seahawks,SEA,DST,NA,49,DST,average,6.866666667,11,0.063333333,0.71898076,6.294,7.536,9,NA,NA,4.857574254
515,Seattle,Seahawks,SEA,DST,NA,49,DST,robust,6.835,9,0.0425,0.504084,6.294,7.536,9,NA,NA,4.199562223
515,Seattle,Seahawks,SEA,DST,NA,49,DST,weighted,6.972792793,15,0.053183183,0.975807358,6.26,7.506412791,9,NA,NA,5.643975088
516,Dallas,Cowboys,DAL,DST,NA,49,DST,average,7.116666667,7,0.196666667,0.606822324,6.683,7.682,6,NA,NA,4.514146088
